field,type,v_start,v_stop,f_SYSTEM,f_PROJ_INFO_EDIT,f_PROJ_INFO_FIXED,f_USER,f_USER_ROLE,ARMS,DAG,DAG_ASSN,EVENT,FIELDNAME,INSTRUMENT,INSTRUMENT_MAP,LOGGING,METADATA,PROJ_INFO,REPEAT_INSTRUMENT,USER,USER_ROLE,USER_ROLE_ASSN
redcap_event_name,C,,,1,,,,,,,,,,,,,,,,,,
redcap_repeat_instrument,C,,,1,,,,,,,,,,,,,,,,,,
redcap_repeat_instance,C,,,1,,,,,,,,,,,,,,,,,,
redcap_survey_identifier,C,,,1,,,,,,,,,,,,,,,,,,
arm_num,N,,,,,,,,1,,,1,,,1,,,,,,,
name,C,,,,,,,,1,,,,,,,,,,,,,
data_access_group_name,C,,,,,,,,,1,,,,,,,,,,,,
unique_group_name,C,,,,,,,,,1,,,,,,,,,,,,
data_access_group_id,N,,,,,,,,,1,,,,,,,,,,1,,
username,C,,,,,,,,,,1,,,,,1,,,,1,,1
redcap_data_access_group,C,,,1,,,,,,,1,,,,,,,,,,,
event_name,C,,,,,,,,,,,1,,,,,,,1,,,
unique_event_name,C,,,,,,,,,,,1,,,1,,,,,,,
custom_event_label,C,,,,,,,,,,,1,,,,,,,,,,
event_id,N,,,,,,,,,,,1,,,,,,,,,,
days_offset,N,,,,,,,,,,,1,,,,,,,,,,
offset_min,N,,,,,,,,,,,1,,,,,,,,,,
offset_max,N,,,,,,,,,,,1,,,,,,,,,,
original_field_name,C,,,,,,,,,,,,1,,,,,,,,,
choice_value,C,,,,,,,,,,,,1,,,,,,,,,
export_field_name,C,,,,,,,,,,,,1,,,,,,,,,
instrument_name,C,,,,,,,,,,,,,1,,,,,,,,
instrument_label,C,,,,,,,,,,,,,1,,,,,,,,
form,C,,,,,,,,,,,,,,1,,,,,,,
timestamp,T,,,,,,,,,,,,,,,1,,,,,,
action,C,,,,,,,,,,,,,,,1,,,,,,
details,C,,,,,,,,,,,,,,,1,,,,,,
record,C,,,,,,,,,,,,,,,1,,,,,,
field_name,C,,,,,,,,,,,,,,,,1,,,,,
form_name,C,,,,,,,,,,,,,,,,1,,1,,,
section_header,C,,,,,,,,,,,,,,,,1,,,,,
field_type,C,,,,,,,,,,,,,,,,1,,,,,
field_label,C,,,,,,,,,,,,,,,,1,,,,,
select_choices_or_calculations,C,,,,,,,,,,,,,,,,1,,,,,
field_note,C,,,,,,,,,,,,,,,,1,,,,,
text_validation_type_or_show_slider_number,C,,,,,,,,,,,,,,,,1,,,,,
text_validation_min,C,,,,,,,,,,,,,,,,1,,,,,
text_validation_max,C,,,,,,,,,,,,,,,,1,,,,,
identifier,C,,,,,,,,,,,,,,,,1,,,,,
branching_logic,C,,,,,,,,,,,,,,,,1,,,,,
required_field,C,,,,,,,,,,,,,,,,1,,,,,
custom_alignment,C,,,,,,,,,,,,,,,,1,,,,,
question_number,C,,,,,,,,,,,,,,,,1,,,,,
matrix_group_name,C,,,,,,,,,,,,,,,,1,,,,,
matrix_ranking,C,,,,,,,,,,,,,,,,1,,,,,
field_annotation,C,,,,,,,,,,,,,,,,1,,,,,
project_id,C,,,,,1,,,,,,,,,,,,1,,,,
project_title,C,,,,1,,,,,,,,,,,,,1,,,,
creation_time,C,,,,,1,,,,,,,,,,,,1,,,,
production_time,C,,,,,1,,,,,,,,,,,,1,,,,
in_production,C,,,,,1,,,,,,,,,,,,1,,,,
project_language,C,,,,1,,,,,,,,,,,,,1,,,,
purpose,C,,,,1,,,,,,,,,,,,,1,,,,
purpose_other,C,,,,1,,,,,,,,,,,,,1,,,,
project_notes,C,,,,1,,,,,,,,,,,,,1,,,,
custom_record_label,C,,,,1,,,,,,,,,,,,,1,,,,
secondary_unique_field,C,,,,1,,,,,,,,,,,,,1,,,,
is_longitudinal,C,,,,1,,,,,,,,,,,,,1,,,,
has_repeating_instruments_or_events,C,,,,,1,,,,,,,,,,,,1,,,,
surveys_enabled,C,,,,1,,,,,,,,,,,,,1,,,,
scheduling_enabled,C,,,,1,,,,,,,,,,,,,1,,,,
record_autonumbering_enabled,C,,,,1,,,,,,,,,,,,,1,,,,
randomization_enabled,C,,,,1,,,,,,,,,,,,,1,,,,
ddp_enabled,C,,,,,1,,,,,,,,,,,,1,,,,
project_irb_number,C,,,,1,,,,,,,,,,,,,1,,,,
project_grant_number,C,,,,1,,,,,,,,,,,,,1,,,,
project_pi_firstname,C,,,,1,,,,,,,,,,,,,1,,,,
project_pi_lastname,C,,,,1,,,,,,,,,,,,,1,,,,
display_today_now_button,C,,,,1,,,,,,,,,,,,,1,,,,
missing_data_codes,C,,,,,1,,,,,,,,,,,,1,,,,
external_modules,C,,,,,1,,,,,,,,,,,,1,,,,
bypass_branching_erase_field_prompt,C,,,,1,,,,,,,,,,,,,1,,,,
custom_form_label,C,,,,,,,,,,,,,,,,,,1,,,
email,C,,,,,,,,,,,,,,,,,,,1,,
firstname,C,,,,,,,,,,,,,,,,,,,1,,
lastname,C,,,,,,,,,,,,,,,,,,,1,,
expiration,T,,,,,,,,,,,,,,,,,,,1,,
data_access_group,C,,,,,,1,,,,,,,,,,,,,1,,
design,C,,,,,,1,1,,,,,,,,,,,,1,1,
alerts,C,,,,,,1,1,,,,,,,,,,,,1,,
user_rights,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_access_groups,C,,,,,,,1,,,,,,,,,,,,1,1,
reports,C,,,,,,1,1,,,,,,,,,,,,1,1,
stats_and_charts,C,,,,,,1,1,,,,,,,,,,,,1,1,
manage_survey_participants,C,,,,,,1,1,,,,,,,,,,,,1,1,
calendar,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_import_tool,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_comparison_tool,C,,,,,,1,1,,,,,,,,,,,,1,1,
logging,C,,,,,,1,1,,,,,,,,,,,,1,1,
email_logging,C,14.4.0,,,,,1,1,,,,,,,,,,,,1,1,
file_repository,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_quality_create,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_quality_execute,C,,,,,,1,1,,,,,,,,,,,,1,1,
api_export,C,,,,,,1,1,,,,,,,,,,,,1,1,
api_import,C,,,,,,1,1,,,,,,,,,,,,1,1,
api_modules,C,14.0.3,,,,,,,,,,,,,,,,,,1,,
mobile_app,C,,,,,,1,1,,,,,,,,,,,,1,1,
mobile_app_download_data,C,,,,,,1,1,,,,,,,,,,,,1,1,
record_create,C,,,,,,1,1,,,,,,,,,,,,1,1,
record_rename,C,,,,,,1,1,,,,,,,,,,,,1,1,
record_delete,C,,,,,,1,1,,,,,,,,,,,,1,1,
lock_records_all_forms,C,,,,,,1,1,,,,,,,,,,,,1,1,
lock_records,C,,,,,,1,1,,,,,,,,,,,,1,1,
lock_records_customization,C,,,,,,1,1,,,,,,,,,,,,1,1,
mycap_participants,C,,,,,,1,,,,,,,,,,,,,1,1,
random_setup,C,,,,,,1,,,,,,,,,,,,,1,1,
random_dashboard,C,,,,,,1,,,,,,,,,,,,,1,1,
random_perform,C,,,,,,1,,,,,,,,,,,,,1,1,
forms,C,,,,,,,,,,,,,,,,,,,1,1,
forms_export,C,,,,,,,,,,,,,,,,,,,1,1,
unique_role_name,C,,,,,,,,,,,,,,,,,,,,1,1
role_label,C,,,,,,,,,,,,,,,,,,,,1,
